id,brand_name,generic_name,brand_price,generic_price,chronic_keywords,target_patients,health_issues
169,Cefotaxime 1g Injection,Cefotaxime 1g,38,18,severe bacterial infections (acute),Adults and children with severe infections,"Severe bacterial infections, meningitis, sepsis"
170,Ampicillin 500,Ampicillin 500mg,18,8,bacterial infections (acute),Adults and children with bacterial infections,"Respiratory infection, urinary tract infection, meningitis"
171,Cloxacillin 500,Cloxacillin 500mg,22,10,staphylococcal infections (acute),Adults and children with staphylococcal infections,"Skin infection, bone infection, endocarditis"
172,Doxycycline 100,Doxycycline 100mg,28,12,"bacterial infections, acne (acute and chronic)","Adults with bacterial infections, acne","Respiratory infection, acne, malaria prevention, tick fever"
173,Erythromycin 500,Erythromycin 500mg,22,10,bacterial infections (acute),Adults and children with bacterial infections,"Respiratory infection, skin infection, alternative to penicillin"
174,Clarithromycin 500,Clarithromycin 500mg,145,75,bacterial infections (acute),"Adults with bacterial infections, H. pylori","Respiratory infection, H. pylori infection, skin infection"
175,Roxithromycin 150,Roxithromycin 150mg,85,45,bacterial infections (acute),Adults with bacterial infections,"Respiratory infection, soft tissue infection"
176,Metronidazole 400,Metronidazole 400mg,12,5,bacterial and protozoal infections (acute),Adults with bacterial and protozoal infections,"Amoebiasis, giardiasis, anaerobic bacterial infections"
177,Tinidazole 500,Tinidazole 500mg,18,8,bacterial and protozoal infections (acute),Adults with bacterial and protozoal infections,"Amoebiasis, giardiasis, trichomoniasis"
178,Nitrofurantoin 100,Nitrofurantoin 100mg,42,22,urinary tract infection (acute and prophylaxis),Adults with urinary tract infection,"Urinary tract infection, UTI prevention"
179,Cephalexin 500,Cephalexin 500mg,28,12,bacterial infections (acute),Adults and children with bacterial infections,"Respiratory infection, skin infection, urinary tract infection"
180,Cotrimoxazole 480,Sulfamethoxazole 400mg + Trimethoprim 80mg,12,5,bacterial infections (acute),Adults and children with bacterial infections,"Urinary tract infection, respiratory infection, traveler's diarrhea"
181,Linezolid 600,Linezolid 600mg,385,225,resistant bacterial infections (acute),Adults with MRSA and resistant infections,"MRSA, resistant pneumonia, skin infection"
182,Vancomycin 500mg Injection,Vancomycin 500mg,285,165,serious bacterial infections (acute),Adults with serious resistant infections,"MRSA, serious skin infection, endocarditis, meningitis"
183,Piperacillin + Tazobactam 4.5g,Piperacillin 4g + Tazobactam 0.5g,425,245,severe bacterial infections (acute),Adults with severe infections,"Severe hospital-acquired infections, sepsis, pneumonia"
184,Meropenem 1g Injection,Meropenem 1g,1850,1250,severe bacterial infections (acute),Adults and children with severe infections,"Severe bacterial infections, meningitis, hospital infections"
185,Imipenem + Cilastatin 500mg,Imipenem 500mg + Cilastatin 500mg,1650,1150,severe bacterial infections (acute),Adults with severe infections,"Severe bacterial infections, hospital infections"
186,Fluconazole 150,Fluconazole 150mg,42,22,fungal infections (acute and chronic),Adults with fungal infections,"Vaginal yeast infection, oral thrush, fungal infections"
187,Itraconazole 100,Itraconazole 100mg,125,68,fungal infections (chronic),Adults with fungal infections,"Fungal nail infection, systemic fungal infections"
188,Ketoconazole 200,Ketoconazole 200mg,45,22,fungal infections (chronic),Adults with fungal infections,"Fungal skin infection, systemic fungal infections"
189,Clotrimazole Cream,Clotrimazole 1%,28,12,fungal skin infections (acute),Adults and children with fungal skin infections,"Athlete's foot, ringworm, jock itch, yeast infection"
190,Miconazole Cream,Miconazole 2%,35,18,fungal skin infections (acute),Adults and children with fungal skin infections,"Athlete's foot, ringworm, yeast infection"
191,Terbinafine 250,Terbinafine 250mg,145,75,fungal infections (chronic),Adults with fungal nail and skin infections,"Fungal nail infection, ringworm, athlete's foot"
192,Griseofulvin 500,Griseofulvin 500mg,85,45,fungal infections (chronic),Adults and children with fungal infections,"Ringworm, fungal scalp infection, nail infection"
193,Acyclovir 400,Acyclovir 400mg,85,45,viral infections (acute),"Adults with herpes simplex, chickenpox, shingles","Herpes simplex, chickenpox, shingles"
194,Valacyclovir 500,Valacyclovir 500mg,185,95,viral infections (acute),"Adults with herpes simplex, shingles","Herpes simplex, shingles, cold sores"
195,Oseltamivir 75,Oseltamivir 75mg,145,75,influenza (acute),Adults and children with influenza,"Influenza, flu treatment and prevention"
196,Ribavirin 200,Ribavirin 200mg,385,225,viral infections (chronic),"Adults with hepatitis C, RSV","Hepatitis C, respiratory syncytial virus"
197,Tenofovir 300,Tenofovir Disoproxil 300mg,285,165,"HIV, hepatitis B (chronic)","Adults with HIV, hepatitis B","HIV infection, hepatitis B"
198,Lamivudine 150,Lamivudine 150mg,125,68,"HIV, hepatitis B (chronic)","Adults with HIV, hepatitis B","HIV infection, hepatitis B"
199,Efavirenz 600,Efavirenz 600mg,225,125,HIV (chronic),Adults with HIV,HIV infection
200,Nevirapine 200,Nevirapine 200mg,95,48,HIV (chronic),Adults with HIV,HIV infection
201,Zidovudine 300,Zidovudine 300mg,165,88,HIV (chronic),Adults and children with HIV,HIV infection
202,Atazanavir 300,Atazanavir 300mg,385,225,HIV (chronic),Adults with HIV,HIV infection
203,Darunavir 600,Darunavir 600mg,625,425,HIV (chronic),Adults with HIV,HIV infection
204,Raltegravir 400,Raltegravir 400mg,485,285,HIV (chronic),Adults with HIV,HIV infection
205,Dolutegravir 50,Dolutegravir 50mg,285,165,HIV (chronic),Adults and children with HIV,HIV infection
206,Sofosbuvir 400,Sofosbuvir 400mg,12500,8500,hepatitis C (chronic),Adults with hepatitis C,Hepatitis C infection
207,Daclatasvir 60,Daclatasvir 60mg,8500,6200,hepatitis C (chronic),Adults with hepatitis C,Hepatitis C infection
208,Albendazole 400,Albendazole 400mg,8,3,parasitic worm infections (acute),Adults and children with worm infections,"Roundworm, hookworm, tapeworm, pinworm infections"
209,Mebendazole 100,Mebendazole 100mg,12,5,parasitic worm infections (acute),Adults and children with worm infections,"Roundworm, hookworm, whipworm, pinworm infections"
210,Ivermectin 12,Ivermectin 12mg,22,10,parasitic infections (acute),Adults with parasitic infections,"Scabies, head lice, river blindness, strongyloidiasis"
211,Praziquantel 600,Praziquantel 600mg,85,45,parasitic worm infections (acute),"Adults and children with tapeworm, flukes","Tapeworm, schistosomiasis, liver fluke infections"
212,Permethrin Lotion,Permethrin 5%,145,75,"scabies, lice (acute)","Adults and children with scabies, lice","Scabies, head lice"
213,Lindane Lotion,Lindane 1%,85,45,"scabies, lice (acute)","Adults with scabies, lice","Scabies, head lice"
214,Povidone Iodine,Povidone Iodine 10%,42,22,"antiseptic, wound care (acute)",Adults and children for wound cleaning,"Wound disinfection, minor cuts, burns, skin antisepsis"
215,Chlorhexidine Solution,Chlorhexidine Gluconate 0.2%,55,28,"antiseptic, oral care (chronic)","Adults for oral hygiene, wound care","Gingivitis, mouth infection, wound disinfection"
216,Hydrogen Peroxide,Hydrogen Peroxide 3%,18,8,"antiseptic, wound care (acute)",Adults and children for wound cleaning,"Wound cleaning, minor cuts, oral hygiene"
217,Silver Sulfadiazine Cream,Silver Sulfadiazine 1%,125,68,burn care (acute),Adults and children with burns,Burn wound infection prevention
218,Mupirocin Ointment,Mupirocin 2%,165,88,bacterial skin infection (acute),Adults and children with skin infections,"Impetigo, skin infection, wound infection"
219,Fusidic Acid Cream,Fusidic Acid 2%,145,75,bacterial skin infection (acute),Adults and children with skin infections,"Impetigo, infected eczema, skin infection"
220,Hydroquinone Cream,Hydroquinone 2%,185,95,hyperpigmentation (chronic),"Adults with melasma, dark spots","Melasma, hyperpigmentation, dark spots"
221,Tretinoin Cream,Tretinoin 0.025%,225,125,"acne, aging skin (chronic)","Adults with acne, photoaging","Acne, wrinkles, hyperpigmentation"
222,Adapalene Gel,Adapalene 0.1%,285,165,acne (chronic),Adolescents and adults with acne,"Acne, comedones, pimples"
223,Benzoyl Peroxide Gel,Benzoyl Peroxide 2.5%,145,75,acne (chronic),Adolescents and adults with acne,"Acne, pimples"
224,Clindamycin Gel,Clindamycin 1%,165,88,acne (chronic),Adolescents and adults with acne,"Acne, pimples"
225,Salicylic Acid Cream,Salicylic Acid 2%,95,48,"acne, warts (chronic)","Adolescents and adults with acne, warts","Acne, warts, psoriasis"
226,Tacrolimus Ointment,Tacrolimus 0.1%,625,425,"eczema, atopic dermatitis (chronic)",Adults and children with eczema,"Eczema, atopic dermatitis"
227,Pimecrolimus Cream,Pimecrolimus 1%,485,285,"eczema, atopic dermatitis (chronic)",Adults and children with eczema,"Eczema, atopic dermatitis"
228,Betamethasone Cream,Betamethasone 0.1%,55,28,"skin inflammation, eczema (acute and chronic)",Adults and children with skin inflammation,"Eczema, psoriasis, dermatitis, allergic rash"
229,Clobetasol Cream,Clobetasol 0.05%,125,68,severe skin inflammation (chronic),"Adults with severe eczema, psoriasis","Severe eczema, psoriasis, lichen planus"
230,Mometasone Cream,Mometasone 0.1%,95,48,"skin inflammation, eczema (chronic)",Adults and children with skin inflammation,"Eczema, psoriasis, dermatitis"
231,Calamine Lotion,Calamine 8%,22,10,"skin irritation, itching (acute)",Adults and children with skin irritation,"Itching, sunburn, insect bites, rash"
232,Vitamin E Cream,Vitamin E 400 IU,85,45,"skin care, wound healing (chronic)",Adults for skin care,"Dry skin, wound healing, scar prevention"
233,Petroleum Jelly,White Petroleum 100%,28,12,skin moisturizer (chronic),Adults and children for dry skin,"Dry skin, chapped lips, minor burns"
234,Urea Cream,Urea 10%,125,68,"dry skin, calluses (chronic)","Adults with dry skin, calluses","Dry skin, calluses, rough skin"
235,Lactic Acid Lotion,Lactic Acid 12%,145,75,"dry skin, keratosis (chronic)","Adults with dry skin, keratosis pilaris","Dry skin, rough skin, keratosis pilaris"
236,Coal Tar Shampoo,Coal Tar 2%,165,88,"psoriasis, seborrheic dermatitis (chronic)","Adults with scalp psoriasis, dandruff","Psoriasis, seborrheic dermatitis, dandruff"
237,Ketoconazole Shampoo,Ketoconazole 2%,225,125,"dandruff, fungal scalp infection (chronic)","Adults with dandruff, fungal infection","Dandruff, seborrheic dermatitis, fungal scalp infection"
238,Minoxidil Solution,Minoxidil 5%,485,285,hair loss (chronic),Adults with androgenetic alopecia,Male and female pattern hair loss
239,Finasteride 1,Finasteride 1mg,185,95,male pattern baldness (chronic),Adult men with male pattern baldness,Male pattern hair loss
240,Isotretinoin 20,Isotretinoin 20mg,385,225,severe acne (chronic),Adolescents and adults with severe acne,"Severe acne, cystic acne"
241,Pilocarpine Eye Drops,Pilocarpine 2%,145,75,glaucoma (chronic),Adults with glaucoma,"Open-angle glaucoma, increased eye pressure"
242,Timolol Eye Drops,Timolol 0.5%,185,95,glaucoma (chronic),"Adults with glaucoma, ocular hypertension","Glaucoma, increased eye pressure"
243,Latanoprost Eye Drops,Latanoprost 0.005%,425,245,glaucoma (chronic),"Adults with glaucoma, ocular hypertension","Glaucoma, increased eye pressure"
244,Brimonidine Eye Drops,Brimonidine 0.2%,285,165,glaucoma (chronic),"Adults with glaucoma, ocular hypertension","Glaucoma, increased eye pressure"
245,Carteolol Eye Drops,Carteolol 1%,225,125,glaucoma (chronic),Adults with glaucoma,"Glaucoma, increased eye pressure"
246,Tropicamide Eye Drops,Tropicamide 1%,95,48,eye examination (acute),Adults and children for eye examination,Pupil dilation for eye examination
247,Cyclopentolate Eye Drops,Cyclopentolate 1%,125,68,"eye examination, uveitis (acute)",Adults and children for eye examination,"Pupil dilation, cycloplegic refraction"
248,Tetracycline Eye Ointment,Tetracycline 1%,35,18,bacterial eye infection (acute),Adults and children with eye infection,"Conjunctivitis, bacterial eye infection"
249,Chloramphenicol Eye Drops,Chloramphenicol 0.5%,28,12,bacterial eye infection (acute),Adults and children with eye infection,"Conjunctivitis, bacterial eye infection"
250,Moxifloxacin Eye Drops,Moxifloxacin 0.5%,185,95,bacterial eye infection (acute),Adults with bacterial eye infection,"Conjunctivitis, bacterial keratitis"
251,Artificial Tears,Carboxymethylcellulose 0.5%,125,68,dry eyes (chronic),Adults with dry eyes,"Dry eyes, eye irritation"
252,Sodium Hyaluronate Eye Drops,Sodium Hyaluronate 0.1%,225,125,dry eyes (chronic),Adults with dry eyes,"Dry eyes, contact lens discomfort"
253,Prednisolone Eye Drops,Prednisolone Acetate 1%,165,88,eye inflammation (acute),Adults with eye inflammation,"Uveitis, allergic conjunctivitis, post-operative inflammation"
254,Dexamethasone Eye Drops,Dexamethasone 0.1%,145,75,eye inflammation (acute),Adults with eye inflammation,"Uveitis, allergic conjunctivitis, inflammation"
255,Olopatadine Eye Drops,Olopatadine 0.1%,285,165,allergic conjunctivitis (chronic),Adults and children with eye allergies,"Allergic conjunctivitis, itchy eyes"
256,Ketotifen Eye Drops,Ketotifen 0.025%,145,75,allergic conjunctivitis (chronic),Adults and children with eye allergies,"Allergic conjunctivitis, itchy eyes"
257,Ciprofloxacin Ear Drops,Ciprofloxacin 0.3%,85,45,ear infection (acute),Adults and children with ear infection,"Otitis externa, ear infection"
258,Ofloxacin Ear Drops,Ofloxacin 0.3%,95,48,ear infection (acute),Adults and children with ear infection,"Otitis externa, chronic suppurative otitis media"
259,Hydrogen Peroxide Ear Drops,Hydrogen Peroxide 6.5%,55,28,earwax removal (acute),Adults and children with earwax,Earwax removal
260,Glycerin Ear Drops,Glycerin,42,22,ear discomfort (acute),Adults and children with ear irritation,"Ear discomfort, earwax softening"
261,Sodium Bicarbonate Ear Drops,Sodium Bicarbonate 5%,38,18,earwax removal (acute),Adults and children with earwax,Earwax softening and removal
262,Betahistine 16,Betahistine 16mg,95,48,"vertigo, Meniere's disease (chronic)","Adults with vertigo, Meniere's disease","Vertigo, dizziness, Meniere's disease"
263,Cinnarizine 25,Cinnarizine 25mg,18,8,"vertigo, motion sickness (acute and chronic)","Adults with vertigo, motion sickness","Vertigo, dizziness, travel sickness"
264,Meclizine 25,Meclizine 25mg,28,12,"vertigo, motion sickness (acute)","Adults with vertigo, motion sickness","Vertigo, dizziness, nausea from motion"
265,Dimenhydrinate 50,Dimenhydrinate 50mg,22,10,motion sickness (acute),Adults and children with motion sickness,"Motion sickness, nausea, vomiting"
266,Scopolamine Patch,Scopolamine 1.5mg,425,245,motion sickness (acute),Adults with motion sickness,Motion sickness prevention
267,Oral Rehydration Salts,ORS Powder,8,3,dehydration (acute),Adults and children with dehydration,"Dehydration from diarrhea, vomiting, heat"
268,Loperamide 2,Loperamide 2mg,18,8,diarrhea (acute),Adults with acute diarrhea,Acute diarrhea
269,Racecadotril 100,Racecadotril 100mg,85,45,acute diarrhea (acute),Adults and children with acute diarrhea,Acute diarrhea
270,Probiotics,Lactobacillus + Bifidobacterium,185,95,"digestive health, antibiotic-associated diarrhea (chronic)",Adults and children for gut health,"Diarrhea, digestive health, gut flora restoration"
271,Zinc Sulfate 20,Zinc Sulfate 20mg,12,5,"zinc deficiency, diarrhea (acute and chronic)","Children with diarrhea, zinc deficiency","Zinc deficiency, diarrhea in children, immunity"
272,Magnesium Hydroxide,Magnesium Hydroxide 400mg,28,12,"constipation, acidity (acute)","Adults with constipation, acidity","Constipation, acidity, heartburn"
273,Lactulose Solution,Lactulose 10g/15ml,125,68,"constipation, hepatic encephalopathy (chronic)","Adults with constipation, liver disease","Constipation, hepatic encephalopathy"
274,Polyethylene Glycol,Polyethylene Glycol 3350,285,165,constipation (chronic),Adults with chronic constipation,Chronic constipation
275,Bisacodyl 5,Bisacodyl 5mg,18,8,constipation (acute),Adults with constipation,"Constipation, bowel preparation"
276,Senna 8.6,Sennosides 8.6mg,15,6,constipation (acute),Adults with constipation,Constipation
277,Docusate Sodium 100,Docusate Sodium 100mg,28,12,constipation (acute),Adults with constipation,"Constipation, stool softening"
278,Simethicone 40,Simethicone 40mg,22,10,"gas, bloating (acute)",Adults and children with gas,"Gas, bloating, flatulence"
279,Activated Charcoal,Activated Charcoal 250mg,42,22,"poisoning, gas (acute)","Adults with poisoning, gas","Poisoning, drug overdose, gas"
280,Ursodeoxycholic Acid 300,Ursodeoxycholic Acid 300mg,225,125,"gallstones, liver disease (chronic)","Adults with gallstones, primary biliary cholangitis","Gallstones, liver disease, cholestasis"
281,Silymarin 140,Silymarin 140mg,145,75,liver health (chronic),Adults with liver disease,"Liver protection, fatty liver disease"
282,N-Acetylcysteine 600,N-Acetylcysteine 600mg,125,68,"paracetamol overdose, mucolytic (acute)","Adults with paracetamol overdose, mucus","Paracetamol poisoning, thick mucus, COPD"
283,Ambroxol 30,Ambroxol 30mg,28,12,cough with mucus (acute),Adults and children with productive cough,"Cough with mucus, bronchitis"
284,Bromhexine 8,Bromhexine 8mg,22,10,cough with mucus (acute),Adults and children with productive cough,"Cough with mucus, respiratory tract disorders"
285,Guaifenesin 200,Guaifenesin 200mg,42,22,cough with mucus (acute),Adults and children with productive cough,"Cough with mucus, chest congestion"
286,Dextromethorphan 10,Dextromethorphan 10mg,35,18,dry cough (acute),Adults and children with dry cough,"Dry cough, cough suppression"
287,Codeine 10,Codeine Phosphate 10mg,28,12,"cough, mild pain (acute)","Adults with cough, mild pain","Dry cough, mild to moderate pain"
288,Diphenhydramine 25,Diphenhydramine 25mg,18,8,"allergy, cough, insomnia (acute)","Adults with allergies, cough, insomnia","Allergies, cough, sleep aid, motion sickness"
289,Pseudoephedrine 30,Pseudoephedrine 30mg,22,10,nasal congestion (acute),Adults with nasal congestion,"Nasal congestion, sinus pressure"
290,Phenylephrine 10,Phenylephrine 10mg,18,8,nasal congestion (acute),Adults with nasal congestion,"Nasal congestion, sinus pressure"
291,Xylometazoline Nasal Spray,Xylometazoline 0.1%,85,45,nasal congestion (acute),Adults with nasal congestion,"Nasal congestion, stuffy nose"
292,Oxymetazoline Nasal Spray,Oxymetazoline 0.05%,95,48,nasal congestion (acute),Adults and children with nasal congestion,"Nasal congestion, stuffy nose"
293,Sodium Chloride Nasal Spray,Sodium Chloride 0.9%,65,35,"nasal dryness, congestion (acute)",Adults and children for nasal care,"Nasal dryness, nasal hygiene, congestion relief"
294,Fluticasone Nasal Spray,Fluticasone Propionate 50mcg,385,225,allergic rhinitis (chronic),Adults and children with allergic rhinitis,"Allergic rhinitis, nasal allergies, nasal polyps"
295,Mometasone Nasal Spray,Mometasone Furoate 50mcg,425,245,allergic rhinitis (chronic),Adults and children with allergic rhinitis,"Allergic rhinitis, nasal allergies"
296,Azelastine Nasal Spray,Azelastine 0.1%,485,285,allergic rhinitis (chronic),Adults and children with allergic rhinitis,"Allergic rhinitis, nasal allergies"
297,Ipratropium Nasal Spray,Ipratropium 0.03%,325,185,rhinorrhea (chronic),Adults with runny nose,"Runny nose, rhinorrhea"
298,Melatonin 3,Melatonin 3mg,285,165,"insomnia, jet lag (chronic)","Adults with insomnia, jet lag","Insomnia, sleep disorders, jet lag"
299,Zolpidem 10,Zolpidem 10mg,125,68,insomnia (chronic),Adults with insomnia,"Insomnia, difficulty falling asleep"
300,Eszopiclone 2,Eszopiclone 2mg,225,125,insomnia (chronic),Adults with insomnia,"Insomnia, difficulty falling or staying asleep"
301,Zaleplon 10,Zaleplon 10mg,185,95,insomnia (chronic),Adults with insomnia,"Insomnia, difficulty falling asleep"
302,Ramelteon 8,Ramelteon 8mg,385,225,insomnia (chronic),Adults with insomnia,"Insomnia, difficulty falling asleep"
303,Modafinil 100,Modafinil 100mg,485,285,"narcolepsy, sleep apnea (chronic)","Adults with narcolepsy, sleep disorders","Narcolepsy, excessive daytime sleepiness, shift work disorder"
304,Atomoxetine 40,Atomoxetine 40mg,625,425,ADHD (chronic),Children and adults with ADHD,"ADHD, attention deficit hyperactivity disorder"
305,Methylphenidate 10,Methylphenidate 10mg,285,165,ADHD (chronic),Children and adults with ADHD,"ADHD, attention deficit hyperactivity disorder"
306,Lisdexamfetamine 30,Lisdexamfetamine 30mg,825,625,ADHD (chronic),Children and adults with ADHD,"ADHD, binge eating disorder"
307,Baclofen 10,Baclofen 10mg,28,12,muscle spasm (chronic),"Adults with muscle spasm, spasticity","Muscle spasm, spasticity, multiple sclerosis"
308,Tizanidine 2,Tizanidine 2mg,85,45,muscle spasm (chronic),"Adults with muscle spasm, spasticity","Muscle spasm, spasticity"
309,Chlorzoxazone 250,Chlorzoxazone 250mg,22,10,muscle spasm (acute),Adults with muscle spasm,"Muscle spasm, musculoskeletal pain"
310,Methocarbamol 500,Methocarbamol 500mg,42,22,muscle spasm (acute),Adults with muscle spasm,"Muscle spasm, musculoskeletal pain"
311,Cyclobenzaprine 5,Cyclobenzaprine 5mg,55,28,muscle spasm (acute),Adults with muscle spasm,"Muscle spasm, musculoskeletal pain"
312,Thiocolchicoside 4,Thiocolchicoside 4mg,35,18,muscle spasm (acute),Adults with muscle spasm,"Muscle spasm, painful muscle contracture"
313,Glucosamine 500,Glucosamine Sulfate 500mg,285,165,osteoarthritis (chronic),Adults with osteoarthritis,"Osteoarthritis, joint pain, cartilage health"
314,Chondroitin 400,Chondroitin Sulfate 400mg,325,185,osteoarthritis (chronic),Adults with osteoarthritis,"Osteoarthritis, joint pain, cartilage health"
315,Methylsulfonylmethane 1000,MSM 1000mg,385,225,"joint pain, inflammation (chronic)","Adults with joint pain, arthritis","Joint pain, inflammation, arthritis"
316,Collagen Peptides,Collagen Type II 40mg,485,285,"joint health, skin health (chronic)",Adults for joint and skin health,"Joint pain, osteoarthritis, skin elasticity"
317,Hyaluronic Acid 100,Hyaluronic Acid 100mg,625,425,"joint health, skin health (chronic)",Adults for joint and skin health,"Joint lubrication, skin hydration"
318,Testosterone Gel,Testosterone 1%,1850,1450,hypogonadism (chronic),Adult men with low testosterone,"Low testosterone, hypogonadism"
319,Estradiol Patch,Estradiol 0.05mg,825,625,menopause (chronic),Postmenopausal women,"Menopausal symptoms, hot flashes, osteoporosis prevention"
320,Conjugated Estrogens 0.625,Conjugated Estrogens 0.625mg,285,165,menopause (chronic),Postmenopausal women,"Menopausal symptoms, hot flashes, vaginal dryness"
321,Tibolone 2.5,Tibolone 2.5mg,425,245,menopause (chronic),Postmenopausal women,"Menopausal symptoms, hot flashes, bone loss prevention"
322,Black Cohosh Extract,Black Cohosh 40mg,385,225,menopausal symptoms (chronic),Postmenopausal women,"Hot flashes, menopausal symptoms"
323,Saw Palmetto Extract,Saw Palmetto 320mg,485,285,benign prostatic hyperplasia (chronic),Adult men with BPH,"Enlarged prostate, urinary symptoms"
324,Cranberry Extract,Cranberry 500mg,285,165,urinary tract health (chronic),Adults for UTI prevention,Urinary tract infection prevention
325,D-Mannose 500,D-Mannose 500mg,625,425,urinary tract health (chronic),Adults for UTI prevention,Urinary tract infection prevention
326,Potassium Citrate 1080,Potassium Citrate 1080mg,145,75,kidney stones (chronic),"Adults with kidney stones, low potassium","Kidney stone prevention, alkalinization of urine"
327,Tamsulosin + Dutasteride,Tamsulosin 0.4mg + Dutasteride 0.5mg,285,165,benign prostatic hyperplasia (chronic),Adult men with enlarged prostate,"Enlarged prostate, urinary symptoms"
328,Solifenacin 5,Solifenacin 5mg,325,185,overactive bladder (chronic),Adults with overactive bladder,"Urinary urgency, frequency, incontinence"
329,Tolterodine 2,Tolterodine 2mg,285,165,overactive bladder (chronic),Adults with overactive bladder,"Urinary urgency, frequency, incontinence"
330,Oxybutynin 5,Oxybutynin 5mg,85,45,overactive bladder (chronic),Adults with overactive bladder,"Urinary urgency, frequency, incontinence"
331,Mirabegron 25,Mirabegron 25mg,625,425,overactive bladder (chronic),Adults with overactive bladder,"Urinary urgency, frequency, incontinence"
332,Desmopressin 0.1,Desmopressin 0.1mg,485,285,"diabetes insipidus, bedwetting (chronic)","Adults and children with diabetes insipidus, enuresis","Diabetes insipidus, bedwetting, nocturia"
333,Cabergoline 0.5,Cabergoline 0.5mg,385,225,"hyperprolactinemia, Parkinson's (chronic)","Adults with high prolactin, Parkinson's disease","High prolactin levels, Parkinson's disease"
334,Bromocriptine 2.5,Bromocriptine 2.5mg,145,75,"hyperprolactinemia, Parkinson's (chronic)","Adults with high prolactin, Parkinson's disease","High prolactin levels, Parkinson's disease"
335,Carbimazole 5,Carbimazole 5mg,42,22,hyperthyroidism (chronic),Adults with overactive thyroid,"Hyperthyroidism, overactive thyroid"
336,Propylthiouracil 50,Propylthiouracil 50mg,28,12,hyperthyroidism (chronic),Adults with overactive thyroid,"Hyperthyroidism, overactive thyroid"
337,Methimazole 5,Methimazole 5mg,55,28,hyperthyroidism (chronic),Adults with overactive thyroid,"Hyperthyroidism, overactive thyroid"
338,Octreotide Injection,Octreotide 100mcg,2850,2200,"acromegaly, carcinoid tumors (chronic)","Adults with acromegaly, neuroendocrine tumors","Acromegaly, carcinoid syndrome, neuroendocrine tumors"
339,Somatropin Injection,Somatropin 4 IU,3850,3200,growth hormone deficiency (chronic),Children and adults with growth hormone deficiency,"Growth hormone deficiency, short stature"
340,Glargine + Lixisenatide,Insulin Glargine 100 IU + Lixisenatide 33mcg,3850,3200,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, combination insulin and GLP-1 therapy"
341,Insulin + Metformin Combo,Insulin Glargine 100 IU (separate) + Metformin 500mg,1900,1450,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, insulin plus oral agent"
342,Linagliptin 5,Linagliptin 5mg,285,165,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
343,Alogliptin 25,Alogliptin 25mg,325,185,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
344,Rosiglitazone 4,Rosiglitazone 4mg,145,75,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, insulin resistance"
345,Nateglinide + Metformin,Nateglinide 60mg + Metformin 500mg,225,125,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
346,Vildagliptin + Metformin,Vildagliptin 50mg + Metformin 500mg,225,125,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
347,Sitagliptin + Metformin,Sitagliptin 50mg + Metformin 500mg,285,165,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
348,Dapagliflozin + Metformin,Dapagliflozin 10mg + Metformin 500mg,485,285,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, heart and kidney protection"
349,Empagliflozin + Metformin,Empagliflozin 10mg + Metformin 500mg,485,285,"type 2 diabetes, heart failure (chronic)","Adults with type 2 diabetes, heart failure","High blood sugar, heart failure, cardiovascular protection"
350,Amlodipine + Atorvastatin,Amlodipine 5mg + Atorvastatin 10mg,185,95,"hypertension, high cholesterol (chronic)",Adults with high blood pressure and cholesterol,"High blood pressure, high cholesterol"
351,Amlodipine + Telmisartan,Amlodipine 5mg + Telmisartan 40mg,165,88,hypertension (chronic),Adults with high blood pressure,High blood pressure
352,Losartan + Hydrochlorothiazide,Losartan 50mg + Hydrochlorothiazide 12.5mg,125,68,hypertension (chronic),Adults with high blood pressure,High blood pressure
353,Telmisartan + Hydrochlorothiazide,Telmisartan 40mg + Hydrochlorothiazide 12.5mg,145,75,hypertension (chronic),Adults with high blood pressure,High blood pressure
354,Enalapril + Hydrochlorothiazide,Enalapril 5mg + Hydrochlorothiazide 12.5mg,85,45,hypertension (chronic),Adults with high blood pressure,High blood pressure
355,Ramipril + Hydrochlorothiazide,Ramipril 5mg + Hydrochlorothiazide 12.5mg,125,68,hypertension (chronic),Adults with high blood pressure,High blood pressure
356,Perindopril + Amlodipine,Perindopril 5mg + Amlodipine 5mg,225,125,hypertension (chronic),Adults with high blood pressure,High blood pressure
357,Valsartan + Amlodipine,Valsartan 80mg + Amlodipine 5mg,285,165,hypertension (chronic),Adults with high blood pressure,High blood pressure
358,Olmesartan + Amlodipine,Olmesartan 20mg + Amlodipine 5mg,325,185,hypertension (chronic),Adults with high blood pressure,High blood pressure
359,Bisoprolol + Hydrochlorothiazide,Bisoprolol 5mg + Hydrochlorothiazide 6.25mg,145,75,hypertension (chronic),Adults with high blood pressure,High blood pressure
